"","subject","session","trial","flanked","distortion","freq","amplitude","spacing","im_name","targ_letter","targ_pos","response","eyemovement","RT","experiment","correct"
"132","TW",1,22," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_1_l_K_2.0.png"," K"," l"," r"," n.a.",0.371978,"a",0
"133","TW",1,23," flanked","RF",4,0.2,2," flanked_rf_freq_4_amplitude_0.2_rep_8_b_K_2.0.png"," K"," b"," b"," n.a.",0.3962672,"a",1
"134","TW",1,23," flanked","BPN",4,3,2," flanked_bex_freq_4_amplitude_3_rep_5_t_N_2.0.png"," N"," t"," b"," n.a.",0.20366,"a",0
"135","TW",1,23," flanked","RF",4,0.5,2," flanked_rf_freq_4_amplitude_0.5_rep_3_l_H_2.0.png"," H"," l"," r"," n.a.",0.312627,"a",0
"136","TW",1,23," flanked","BPN",4,7,2," flanked_bex_freq_4_amplitude_7_rep_1_l_K_2.0.png"," K"," l"," l"," n.a.",0.4554488,"a",1
"137","TW",1,23," flanked","RF",4,0.05,2," flanked_rf_freq_4_amplitude_0.05_rep_0_l_N_2.0.png"," N"," l"," t"," n.a.",0.3278005,"a",0
"138","TW",1,23," flanked","BPN",4,5,2," flanked_bex_freq_4_amplitude_5_rep_2_t_D_2.0.png"," D"," t"," t"," n.a.",0.7264733,"a",1
"139","TW",1,24," flanked","RF",4,0.425,2," flanked_rf_freq_4_amplitude_0.425_rep_4_t_D_2.0.png"," D"," t"," t"," n.a.",0.3980048,"a",1
"140","TW",1,24," flanked","BPN",4,6,2," flanked_bex_freq_4_amplitude_6_rep_3_b_N_2.0.png"," N"," b"," b"," n.a.",0.3484226,"a",1
"141","TW",1,24," flanked","RF",4,0.275,2," flanked_rf_freq_4_amplitude_0.275_rep_0_r_N_2.0.png"," N"," r"," l"," n.a.",0.327432,"a",0
"142","TW",1,24," flanked","BPN",4,2,2," flanked_bex_freq_4_amplitude_2_rep_8_r_D_2.0.png"," D"," r"," b"," n.a.",0.2663313,"a",0
